timestamp,penicillin,time_h,dissolved_oxygen,sugar_feed_rate,aeration_rate,water_injection,vessel_volume,oxygen_uptake,temperature,scan
2025-03-11 05:56:59,0.23,7.77,0.12,3.45,3.34,7.84,127.35,3.07,39.82,10
2025-03-11 05:57:00,0.88,4.04,2.1,3.61,5.72,5.81,363.75,1.52,28.08,10
2025-03-11 05:57:01,1.34,5.62,9.0,0.3,0.37,2.58,283.34,2.9,28.1,10
2025-03-11 05:57:02,1.41,5.33,9.31,1.13,9.41,8.3,427.18,3.0,34.54,10
2025-03-11 05:57:03,1.31,8.14,9.01,1.48,4.27,1.76,496.4,4.01,36.97,10
2025-03-11 05:57:04,1.08,8.99,6.7,3.12,8.93,6.46,219.81,0.4,30.85,10
2025-03-11 05:57:05,1.68,5.74,1.75,2.96,0.91,7.45,52.35,2.41,26.69,10
2025-03-11 05:57:06,0.82,1.4,3.58,4.02,9.37,2.03,359.62,2.08,34.34,10
2025-03-11 05:57:07,0.45,8.3,8.06,0.92,5.59,3.97,436.56,0.72,29.42,10
2025-03-11 05:57:08,0.25,3.97,2.78,4.75,4.49,5.05,105.53,4.26,32.29,10
2025-03-11 05:57:09,1.77,8.98,5.95,0.83,0.45,9.87,314.36,1.94,29.92,10
2025-03-11 05:57:10,1.32,1.1,5.65,1.03,0.78,0.53,301.7,1.43,37.24,10
2025-03-11 05:57:11,1.78,8.31,4.77,2.1,8.18,7.54,78.65,4.82,25.21,10
2025-03-11 05:57:12,0.54,2.02,6.46,2.82,8.73,0.3,284.68,0.77,31.24,10
2025-03-11 05:57:13,0.61,5.65,5.19,0.24,6.15,2.24,256.38,3.27,23.9,10
2025-03-11 05:57:14,0.98,5.48,3.45,0.35,4.2,5.49,251.47,2.75,36.72,10
2025-03-11 05:57:15,1.79,2.97,6.84,3.37,2.49,2.37,337.52,3.52,33.98,10
2025-03-11 05:57:16,0.23,4.27,9.82,4.48,7.77,3.29,466.27,2.61,31.14,10
2025-03-11 05:57:17,0.82,6.65,1.8,1.05,4.34,3.86,415.25,1.07,26.03,10
2025-03-11 05:57:18,1.86,8.52,1.77,4.65,5.26,4.36,329.04,2.35,31.33,10
2025-03-11 05:57:19,1.71,2.21,0.01,2.34,1.4,0.59,440.08,4.92,31.69,10
2025-03-11 05:57:20,1.35,6.0,5.72,4.76,0.98,2.17,297.41,4.0,32.66,10
2025-03-11 05:57:21,0.61,3.36,8.81,2.29,2.9,8.71,475.72,4.88,23.47,10
2025-03-11 05:57:22,0.74,6.17,7.21,1.21,6.55,1.03,105.65,1.72,20.31,10
2025-03-11 05:57:23,1.92,2.73,1.69,3.33,9.17,8.64,312.73,0.51,20.38,10
2025-03-11 05:57:24,1.24,6.02,0.3,4.87,1.21,3.12,401.68,4.19,38.06,10
2025-03-11 05:57:25,0.87,8.24,9.08,2.47,8.77,5.36,108.0,1.54,24.47,10
2025-03-11 05:57:26,0.9,4.35,5.4,0.78,2.18,0.89,376.77,2.31,37.47,10
2025-03-11 05:57:27,0.22,8.82,9.22,3.44,7.0,5.7,96.9,0.19,32.01,10
2025-03-11 05:57:28,1.18,1.37,7.7,0.6,3.87,6.56,326.95,2.32,29.51,10
2025-03-11 05:57:29,0.16,6.64,4.25,1.35,9.06,7.87,367.72,3.43,36.92,10
2025-03-11 05:57:30,0.99,3.86,1.33,3.48,8.13,3.83,224.56,4.6,21.53,10
2025-03-11 05:57:31,1.68,5.58,0.83,4.09,7.83,0.07,315.83,2.03,22.31,10
2025-03-11 05:57:32,1.59,7.88,0.01,0.79,5.91,6.86,395.44,1.67,29.14,10
2025-03-11 05:57:33,0.6,6.64,1.95,0.22,0.03,2.28,115.45,4.8,28.3,10
2025-03-11 05:57:34,1.43,9.44,2.86,2.65,3.51,4.99,325.77,0.03,22.38,10
2025-03-11 05:57:35,0.18,1.15,9.31,1.68,9.21,1.46,401.34,2.72,36.42,10
2025-03-11 05:57:36,1.25,4.01,7.39,3.34,9.82,3.42,68.27,0.61,24.07,10
2025-03-11 05:57:37,0.33,8.02,8.98,2.16,6.01,2.24,275.13,4.94,25.84,10
2025-03-11 05:57:38,1.87,7.44,7.92,2.5,2.36,5.19,486.61,0.07,34.91,10
2025-03-11 05:57:39,0.61,9.12,8.04,2.05,8.08,7.12,397.94,0.76,29.47,10
2025-03-11 05:57:40,1.13,4.97,9.61,3.92,1.18,9.55,68.39,1.86,24.36,10
2025-03-11 05:57:41,0.23,8.13,5.35,0.64,0.04,9.96,161.17,1.76,27.71,10
2025-03-11 05:57:42,0.88,5.8,0.58,2.51,1.87,9.99,177.73,3.79,38.73,10
2025-03-11 05:57:43,0.7,8.55,8.09,2.38,6.4,9.69,155.01,4.16,30.99,10
2025-03-11 05:57:44,0.37,4.83,6.92,4.24,6.33,9.75,78.31,4.2,36.66,10
2025-03-11 05:57:45,1.32,1.28,6.91,0.48,5.71,1.62,97.13,0.97,25.14,10
2025-03-11 05:57:46,1.48,3.19,5.6,0.71,4.21,5.69,150.99,2.89,20.41,10
2025-03-11 05:57:47,0.58,9.76,5.42,2.88,3.21,0.66,248.07,2.72,24.9,10
2025-03-11 05:57:48,0.25,6.08,8.45,3.43,7.45,0.49,177.84,0.38,30.65,10
2025-03-11 05:57:49,1.85,5.04,3.79,1.72,7.89,5.43,468.79,3.05,35.83,10
2025-03-11 05:57:50,1.41,1.52,2.88,0.81,7.11,7.75,192.17,4.71,24.76,10
2025-03-11 05:57:51,1.98,5.2,7.53,3.26,0.84,4.82,113.73,4.03,25.75,10
2025-03-11 05:57:52,1.24,9.19,4.25,1.03,5.34,5.26,485.47,1.59,31.4,10
2025-03-11 05:57:53,1.17,1.59,9.9,1.63,1.86,4.2,216.66,4.34,29.43,10
2025-03-11 05:57:54,1.22,4.4,7.97,4.93,5.67,2.26,298.5,1.06,33.7,10
2025-03-11 05:57:55,1.92,4.27,3.62,3.1,3.8,9.59,105.52,2.44,35.72,10
2025-03-11 05:57:56,1.94,1.69,8.87,1.3,2.76,8.21,235.1,2.23,32.21,10
2025-03-11 05:57:57,0.98,1.78,0.92,4.03,0.22,7.18,391.64,1.43,37.33,10
2025-03-11 05:57:58,1.89,3.21,3.67,0.31,6.82,8.08,80.51,1.31,27.04,10
2025-03-11 05:57:59,1.36,2.7,2.52,4.85,1.54,4.65,212.5,4.53,27.66,10
2025-03-11 05:58:00,1.23,8.8,6.74,3.62,7.63,6.16,337.94,2.37,21.79,10
2025-03-11 05:58:01,0.67,8.3,9.66,4.91,1.72,8.64,293.22,0.63,39.52,10
2025-03-11 05:58:02,1.05,7.59,7.76,3.87,6.99,6.08,326.34,4.43,23.63,10
2025-03-11 05:58:03,1.09,6.08,4.12,4.25,6.2,4.77,129.62,0.28,31.4,10
2025-03-11 05:58:04,0.63,5.7,8.32,4.76,2.92,10.0,205.93,4.68,34.49,10
2025-03-11 05:58:05,1.13,6.22,8.04,1.81,0.67,8.15,70.01,0.02,30.7,10
2025-03-11 05:58:06,1.81,4.15,5.13,2.89,2.79,6.38,383.4,3.72,28.3,10
2025-03-11 05:58:07,1.81,6.36,9.7,3.32,9.94,4.99,89.17,1.06,32.86,10
2025-03-11 05:58:08,1.6,9.83,0.59,3.64,2.88,1.96,283.09,3.78,32.02,10
2025-03-11 05:58:09,1.34,8.32,1.54,0.53,4.73,3.19,418.41,0.61,24.17,10
2025-03-11 05:58:10,1.97,4.6,2.94,4.11,6.77,8.0,154.08,2.13,39.58,10
2025-03-11 05:58:11,0.32,1.68,0.21,3.85,8.9,5.09,116.46,4.72,26.52,10
2025-03-11 05:58:12,1.0,8.43,8.9,2.94,6.05,6.04,420.39,0.79,27.75,10
2025-03-11 05:58:13,0.23,9.02,7.42,3.7,1.88,9.16,125.73,1.95,21.45,10
2025-03-11 05:58:14,0.28,7.37,8.18,2.23,1.35,6.74,187.74,1.51,24.82,10
2025-03-11 05:58:15,1.98,7.51,2.42,3.9,2.8,8.07,79.0,3.47,35.67,10
2025-03-11 05:58:16,1.55,7.59,7.76,2.1,8.28,4.34,489.33,0.34,27.15,10
2025-03-11 05:58:17,1.78,5.79,5.12,3.91,5.3,1.74,88.36,4.42,31.75,10
2025-03-11 05:58:18,1.96,8.75,0.66,2.92,5.45,7.05,358.15,3.54,38.08,10
2025-03-11 05:58:19,1.86,2.78,4.98,0.4,2.48,7.5,390.71,0.45,37.54,10
2025-03-11 05:58:20,0.82,3.73,4.78,3.3,8.39,7.7,234.93,3.23,25.29,10
2025-03-11 05:58:21,1.42,2.42,3.22,0.61,2.59,7.86,421.46,4.51,37.41,10
2025-03-11 05:58:22,1.53,9.84,8.92,3.87,7.83,0.2,260.92,0.51,31.75,10
2025-03-11 05:58:23,1.47,1.64,1.23,2.05,7.2,3.51,104.2,0.73,34.01,10
2025-03-11 05:58:24,0.36,8.28,8.69,4.82,9.07,5.0,392.24,2.83,31.63,10
2025-03-11 05:58:25,0.25,7.13,6.26,2.06,9.45,1.34,141.96,1.75,34.36,10
2025-03-11 05:58:26,0.51,7.66,6.87,4.74,0.23,6.18,56.5,1.45,20.99,10
2025-03-11 05:58:27,1.72,6.89,9.37,2.5,9.38,5.09,235.57,3.02,21.4,10
2025-03-11 05:58:28,1.73,3.26,8.96,2.38,0.52,1.57,184.0,2.28,32.43,10
2025-03-11 05:58:29,1.94,8.85,4.99,2.6,3.26,0.24,139.7,2.49,35.7,10
2025-03-11 05:58:30,0.84,6.58,8.82,1.49,2.28,1.79,109.16,3.82,34.93,10
2025-03-11 05:58:31,1.94,1.52,6.94,2.17,9.88,8.0,447.92,1.01,31.1,10
2025-03-11 05:58:32,1.53,6.07,8.5,2.42,6.62,7.96,428.86,0.38,25.49,10
2025-03-11 05:58:33,0.86,4.82,9.37,0.69,9.09,7.67,175.03,1.12,21.77,10
2025-03-11 05:58:34,1.85,8.71,3.33,2.55,9.04,0.57,78.19,3.01,24.61,10
2025-03-11 05:58:35,1.35,7.03,8.89,4.91,4.61,6.71,336.42,2.78,37.2,10
2025-03-11 05:58:36,0.19,1.96,7.53,0.74,8.02,2.83,237.95,1.73,23.89,10
2025-03-11 05:58:37,0.65,8.2,4.45,0.73,4.91,1.57,446.68,0.59,38.89,10
2025-03-11 05:58:38,0.3,9.24,9.02,3.98,8.95,0.62,335.41,1.8,33.45,10
2025-03-11 05:58:39,1.78,3.8,0.34,4.8,7.84,1.48,284.03,0.87,26.53,10
2025-03-11 05:58:40,1.41,2.95,0.9,1.03,5.92,5.43,146.01,0.91,26.31,10
2025-03-11 05:58:41,0.89,6.4,7.77,3.92,6.4,6.89,343.44,1.88,22.85,10
2025-03-11 05:58:42,0.45,8.19,7.67,1.41,4.94,2.76,65.31,1.82,20.21,10
2025-03-11 05:58:43,1.2,7.39,1.14,1.96,0.86,1.0,384.41,0.55,26.87,10
2025-03-11 05:58:44,1.36,7.67,1.13,4.23,8.9,0.65,207.97,3.05,37.62,10
2025-03-11 05:58:45,0.92,3.23,9.64,1.3,7.02,5.22,136.53,4.83,38.41,10
2025-03-11 05:58:46,1.71,2.35,0.59,0.31,2.8,5.66,416.0,3.0,21.33,10
2025-03-11 05:58:47,0.72,9.51,6.68,2.09,5.57,3.86,384.25,3.27,24.33,10
2025-03-11 05:58:48,0.45,6.26,8.17,0.42,6.68,7.57,106.58,4.27,33.77,10
2025-03-11 05:58:49,1.07,3.87,2.75,0.92,4.2,7.14,319.15,0.78,21.62,10
2025-03-11 05:58:50,0.19,9.93,0.7,3.58,3.97,3.59,276.35,2.76,21.01,10
2025-03-11 05:58:51,0.39,9.34,4.93,0.36,4.32,5.95,164.22,0.0,35.61,10
2025-03-11 05:58:52,1.2,8.25,7.66,0.28,4.09,4.14,311.59,0.83,34.64,10
2025-03-11 05:58:53,0.47,3.07,9.2,0.95,9.76,2.7,59.04,0.63,28.77,10
2025-03-11 05:58:54,1.04,9.28,8.66,3.39,5.95,7.61,129.76,4.96,21.88,10
2025-03-11 05:58:55,1.88,1.75,8.21,3.88,6.05,7.36,262.63,0.39,38.15,10
2025-03-11 05:58:56,0.91,9.03,8.21,4.36,8.12,7.21,499.17,3.28,25.88,10
2025-03-11 05:58:57,0.66,8.62,2.34,3.17,5.52,7.94,335.23,4.95,27.31,10
2025-03-11 05:58:58,1.88,8.45,7.96,4.52,2.83,1.37,346.72,3.0,34.92,10
2025-03-11 05:58:59,1.29,4.38,4.59,1.9,2.45,2.89,340.3,3.17,38.05,10
2025-03-11 05:59:00,0.23,6.14,9.99,4.17,2.65,1.4,80.48,2.52,36.23,10
2025-03-11 05:59:01,0.9,5.85,4.01,0.73,0.99,8.31,487.11,1.66,20.12,10
2025-03-11 05:59:02,1.8,1.61,3.71,1.08,0.98,2.64,374.26,0.16,34.93,10
2025-03-11 05:59:03,1.03,3.14,6.52,3.78,6.71,6.96,281.34,4.3,36.55,10
2025-03-11 05:59:04,0.44,6.04,1.83,3.88,3.54,8.81,359.62,2.19,33.83,10
2025-03-11 05:59:05,0.59,1.39,3.38,2.58,2.66,3.13,316.48,1.64,35.41,10
2025-03-11 05:59:06,0.12,6.59,4.04,2.49,5.92,4.45,427.91,3.63,38.29,10
2025-03-11 05:59:07,1.95,9.53,5.91,2.98,6.3,4.21,498.04,2.28,32.44,10
2025-03-11 05:59:08,0.32,9.62,5.61,1.78,8.53,2.17,488.15,1.27,33.88,10
2025-03-11 05:59:09,0.97,3.39,6.14,0.77,2.17,0.96,79.13,1.56,31.08,10
2025-03-11 05:59:10,1.99,8.32,6.63,1.09,6.81,7.13,58.98,4.41,20.33,10
2025-03-11 05:59:11,1.53,4.66,7.21,1.06,6.58,7.39,425.06,0.79,33.62,10
2025-03-11 05:59:12,1.89,4.62,6.67,3.38,4.61,1.16,73.24,1.33,33.67,10
2025-03-11 05:59:13,0.17,1.97,6.41,3.38,1.92,3.25,387.33,2.09,21.43,10
2025-03-11 05:59:14,1.74,4.5,7.01,0.16,1.32,6.23,299.04,1.63,32.18,10
2025-03-11 05:59:15,0.16,6.62,3.12,1.37,0.72,0.05,350.49,2.56,20.08,10
2025-03-11 05:59:16,0.88,8.35,7.04,1.31,5.76,9.87,418.55,1.72,25.35,10
2025-03-11 05:59:17,1.48,6.33,0.84,1.19,8.17,2.59,193.52,3.8,31.18,10
2025-03-11 05:59:18,1.16,9.09,9.87,3.05,6.52,9.5,60.69,1.2,20.82,10
2025-03-11 05:59:19,0.29,4.67,7.16,0.14,5.64,2.27,423.8,3.19,29.79,10
2025-03-11 05:59:20,1.87,7.51,7.75,2.61,4.88,3.3,262.07,1.99,27.16,10
2025-03-11 05:59:21,1.82,7.93,6.06,2.5,3.3,8.32,376.22,3.51,35.18,10
2025-03-11 05:59:22,0.82,7.9,7.94,0.45,0.24,5.68,137.28,3.05,30.62,10
2025-03-11 05:59:23,0.65,4.89,6.16,3.94,8.26,9.66,130.79,2.73,22.22,10
2025-03-11 05:59:24,1.52,2.87,4.43,1.04,8.55,8.84,480.81,2.42,36.77,10
2025-03-11 05:59:25,0.27,6.94,7.47,0.49,4.17,5.2,104.34,3.01,37.52,10
2025-03-11 05:59:26,0.42,5.68,4.93,2.64,8.4,5.52,57.87,4.47,31.81,10
2025-03-11 05:59:27,0.95,8.1,3.97,3.2,5.21,3.99,339.95,4.37,21.23,10
2025-03-11 05:59:28,0.29,4.69,0.88,1.57,0.36,9.09,391.98,0.03,28.1,10
2025-03-11 05:59:29,0.19,8.38,5.03,3.23,3.41,3.2,191.47,1.58,38.27,10
2025-03-11 05:59:30,0.19,4.07,9.93,4.93,4.78,0.91,128.29,4.91,33.04,10
2025-03-11 05:59:31,0.88,2.31,2.77,1.05,8.74,1.48,293.76,0.65,35.87,10
2025-03-11 05:59:32,1.82,9.27,1.01,4.83,1.54,6.73,398.7,1.5,35.49,10
2025-03-11 05:59:33,0.26,9.3,7.69,2.01,8.71,6.0,437.5,2.37,22.05,10
2025-03-11 05:59:34,1.37,2.94,2.19,1.5,8.04,9.31,250.12,4.7,23.84,10
2025-03-11 05:59:35,1.86,8.66,1.51,2.59,7.08,9.85,422.28,4.02,26.37,10
2025-03-11 05:59:36,1.39,2.95,2.74,2.85,2.47,1.45,56.8,4.71,21.73,10
2025-03-11 05:59:37,1.89,7.53,6.22,2.04,0.81,6.6,472.5,4.23,23.35,10
2025-03-11 05:59:38,1.5,4.31,3.81,0.73,3.39,4.58,183.48,1.27,32.1,10
2025-03-11 05:59:39,0.13,7.31,9.37,0.95,0.42,5.36,479.37,3.9,25.7,10
2025-03-11 05:59:40,1.67,2.68,8.66,2.37,9.73,0.66,233.79,1.2,38.24,10
2025-03-11 05:59:41,0.45,8.9,1.4,2.02,6.69,0.62,223.28,4.04,38.79,10
2025-03-11 05:59:42,1.84,8.43,2.78,3.11,9.05,6.47,345.67,4.39,35.46,10
2025-03-11 05:59:43,0.69,1.95,4.33,1.21,6.89,4.33,209.67,0.45,35.27,10
2025-03-11 05:59:44,0.36,7.82,7.97,3.24,4.87,1.65,118.51,4.99,37.63,10
2025-03-11 05:59:45,0.84,8.24,9.2,4.22,5.38,3.88,497.34,3.54,36.5,10
2025-03-11 05:59:46,1.59,9.16,7.87,2.47,0.13,3.32,477.37,4.98,22.88,10
2025-03-11 05:59:47,1.58,2.21,4.31,2.01,6.15,8.79,207.85,3.52,24.68,10
2025-03-11 05:59:48,0.7,3.91,1.84,0.73,2.33,5.81,442.22,3.31,36.28,10
2025-03-11 05:59:49,0.88,2.01,6.8,4.72,8.82,8.24,96.11,3.82,31.48,10
2025-03-11 05:59:50,1.55,8.28,8.11,4.45,4.23,2.8,339.27,2.94,27.24,10
2025-03-11 05:59:51,0.21,2.27,2.5,1.8,0.25,1.45,149.84,0.5,26.91,10
2025-03-11 05:59:52,1.78,3.27,3.63,3.71,9.64,4.76,164.07,3.35,35.23,10
2025-03-11 05:59:53,1.74,8.51,7.49,2.62,5.92,3.5,189.78,3.95,22.03,10
2025-03-11 05:59:54,0.56,4.57,1.72,4.18,7.32,4.22,353.99,3.27,30.15,10
2025-03-11 05:59:55,1.23,7.74,7.08,0.28,5.46,0.04,480.04,0.57,26.95,10
2025-03-11 05:59:56,0.22,3.86,6.91,2.63,3.37,5.0,112.74,2.49,23.69,10
2025-03-11 05:59:57,1.6,8.53,7.99,4.54,2.06,5.17,289.05,2.39,34.95,10
2025-03-11 05:59:58,1.39,7.88,2.81,2.76,2.52,5.38,237.27,1.46,26.28,10
2025-03-11 05:59:59,1.01,7.83,6.57,4.25,5.89,4.23,220.13,1.26,26.3,10
2025-03-11 06:00:00,0.17,3.55,7.24,1.36,5.18,7.6,385.23,0.56,39.58,10
2025-03-11 06:00:01,0.33,9.83,7.23,1.72,4.18,8.58,74.87,3.44,32.86,10
2025-03-11 06:00:02,0.25,2.62,0.06,3.66,4.96,3.17,170.59,1.4,27.45,10
2025-03-11 06:00:03,0.94,9.51,4.29,2.79,5.23,9.84,218.85,2.14,23.23,10
2025-03-11 06:00:04,1.77,5.07,3.12,3.93,6.0,0.62,369.44,2.17,28.68,10
2025-03-11 06:00:05,0.23,7.45,8.0,1.85,4.97,5.31,396.1,4.83,21.54,10
2025-03-11 06:00:06,0.69,1.21,6.98,1.65,5.78,0.91,139.93,0.82,31.33,10
2025-03-11 06:00:07,0.63,6.35,2.18,4.8,4.27,1.11,95.15,1.09,23.66,10
2025-03-11 06:00:08,0.25,7.48,5.86,1.96,1.84,3.66,318.94,3.38,34.89,10
2025-03-11 06:00:09,1.19,8.09,6.52,4.82,1.17,4.37,289.92,2.72,26.62,10
2025-03-11 06:00:10,0.25,4.98,2.4,3.58,8.21,8.75,64.05,1.14,31.97,10
2025-03-11 06:00:11,0.49,1.32,1.3,3.1,5.92,3.22,295.32,2.97,28.17,10
2025-03-11 06:00:12,1.69,2.12,3.72,4.43,1.95,6.21,437.42,3.63,27.74,10
2025-03-11 06:00:13,0.77,2.73,4.41,2.41,6.15,7.46,282.3,2.89,37.08,10
2025-03-11 06:00:14,1.87,4.6,5.37,3.12,9.88,1.53,483.4,0.4,36.89,10
2025-03-11 06:00:15,2.0,2.94,1.19,0.78,8.85,6.61,311.55,1.74,21.49,10
2025-03-11 06:00:16,1.15,8.19,4.38,2.63,4.4,7.3,286.83,2.7,28.75,10
2025-03-11 06:00:17,1.97,6.68,0.73,1.36,3.44,2.54,413.09,3.18,32.12,10
2025-03-11 06:00:18,1.0,1.57,5.86,1.5,5.06,8.17,231.52,0.93,22.63,10
2025-03-11 06:00:19,0.2,1.61,9.33,3.46,2.69,2.91,423.68,3.33,26.47,10
2025-03-11 06:00:20,0.32,5.16,6.59,4.41,1.81,8.47,110.37,4.19,23.36,10
2025-03-11 06:00:21,0.91,4.22,6.97,0.9,4.44,3.83,197.99,1.97,38.24,10
2025-03-11 06:00:22,1.27,6.59,5.46,4.07,9.86,2.18,493.95,0.41,21.76,10
2025-03-11 06:00:23,1.45,6.57,9.71,2.44,3.66,8.34,395.26,2.18,21.15,10
2025-03-11 06:00:24,1.26,1.24,8.04,1.51,5.47,4.46,173.95,2.95,35.4,10
2025-03-11 06:00:25,0.23,3.72,0.69,2.87,2.08,2.4,102.56,2.62,37.24,10
2025-03-11 06:00:26,1.6,5.14,0.56,0.6,1.38,9.49,464.92,1.48,26.42,10
2025-03-11 06:00:27,1.77,1.93,5.84,3.01,5.76,7.41,310.94,0.06,36.1,10
2025-03-11 06:00:28,1.68,4.57,3.54,2.8,5.16,6.34,109.31,3.79,27.73,10
2025-03-11 06:00:29,1.65,9.14,6.18,1.33,8.65,1.19,267.69,4.46,28.04,10
2025-03-11 06:00:30,1.51,2.31,9.14,0.13,7.87,7.69,65.95,2.74,21.14,10
2025-03-11 06:00:31,0.34,2.59,6.19,1.61,6.97,3.72,269.85,3.95,30.63,10
2025-03-11 06:00:32,0.63,1.55,0.68,0.79,5.52,8.18,100.7,3.68,39.48,10
2025-03-11 06:00:33,0.46,6.47,2.25,0.76,5.72,9.8,141.65,1.21,26.13,10
2025-03-11 06:00:34,0.87,6.34,6.53,2.57,2.01,0.83,394.09,1.51,33.74,10
2025-03-11 06:00:35,1.25,8.83,4.54,3.76,7.94,9.0,472.5,4.85,32.19,10
2025-03-11 06:00:36,0.28,6.28,0.57,1.76,8.58,0.59,67.51,4.25,38.32,10
2025-03-11 06:00:37,1.49,5.0,2.04,4.6,1.26,8.31,406.09,3.15,36.32,10
2025-03-11 06:00:38,0.12,4.47,3.7,3.41,1.85,2.57,221.37,0.12,21.16,10
2025-03-11 06:00:39,1.2,1.48,3.73,4.35,9.96,2.89,273.62,3.62,21.33,10
2025-03-11 06:00:40,1.63,6.57,8.55,2.05,4.73,0.2,288.16,3.45,36.21,10
2025-03-11 06:00:41,1.2,6.92,5.25,2.7,6.78,3.18,180.99,4.41,33.78,10
2025-03-11 06:00:42,0.15,2.32,7.33,3.56,9.78,3.81,321.2,4.77,33.3,10
2025-03-11 06:00:43,1.18,9.83,7.58,3.4,2.18,2.48,208.01,2.55,28.78,10
2025-03-11 06:00:44,0.97,4.16,7.07,1.67,2.3,1.29,121.26,1.13,25.33,10
2025-03-11 06:00:45,0.9,5.93,1.06,4.71,7.98,5.11,337.24,2.43,39.43,10
2025-03-11 06:00:46,1.36,3.06,6.98,3.74,3.48,9.92,391.04,1.2,23.49,10
2025-03-11 06:00:47,0.45,8.68,3.23,3.44,7.94,1.32,181.45,1.37,26.8,10
2025-03-11 06:00:48,0.15,7.67,7.84,3.58,0.6,0.21,448.2,1.5,32.07,10
2025-03-11 06:00:49,1.33,4.75,1.49,4.84,7.64,7.99,111.2,2.81,29.61,10
2025-03-11 06:00:50,1.21,5.19,0.67,0.29,7.34,9.68,87.25,3.64,33.04,10
2025-03-11 06:00:51,1.09,1.73,2.26,0.0,3.08,2.97,240.74,1.88,23.09,10
2025-03-11 06:00:52,0.87,4.69,0.99,3.99,9.05,1.96,308.5,0.58,33.33,10
2025-03-11 06:00:53,1.28,9.72,6.15,3.6,3.54,5.24,84.66,2.67,20.97,10
2025-03-11 06:00:54,0.25,7.38,1.55,2.14,5.83,4.45,447.91,1.58,22.07,10
2025-03-11 06:00:55,1.33,4.49,2.0,1.56,4.19,7.36,87.72,0.05,31.72,10
2025-03-11 06:00:56,0.5,1.7,6.6,0.61,2.97,1.79,471.32,0.41,27.82,10
2025-03-11 06:00:57,0.41,1.5,5.15,0.71,4.92,2.44,297.8,2.11,33.94,10
