Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag,timestamp
120,75,100,90,0.0,52.157,49.507,0.0001,100,1.0,0,0.0011781,12.124,16.583,80504,89282,6.4984,298.03,71.207,1.7394,10.0,1631.2,23,1864.6,1.7401,0.18865,16.433,23.39,1.6615,0,51.881,0,0,1,1,1,0,100890,100670,04/09/2025 11:31:39 AM
132,75,100,90,0.0,37.782,44.117,0.0001,100,1.0,-4000,0.0012947,11.421,18.794,75985,84422,6.5347,298.01,62.129,1.7197,10.0,1614.8,23,1878.1,1.7149,0.18888,18.641,24.576,1.6425,0,60.502,0,0,1,1,1,0,110400,110700,04/09/2025 11:31:40 AM
144,75,100,90,0.0,65.18,19.111,0.0001,100,1.0,0,0.0011816,11.188,21.002,78617,87722,6.4871,298.0,59.119,1.8265,10.0,1608.0,23,1899.0,1.7195,0.18864,20.854,25.54,1.7451,0,68.963,0,0,1,1,1,0,121400,121390,04/09/2025 11:31:41 AM
156,75,100,90,0.0,138.76,64.533,0.0001,0,0.9,0,0.0015369,9.4323,23.376,73978,82773,6.5114,297.99,59.799,1.7687,10.0,1541.0,23,1912.2,1.7033,0.18887,23.217,26.475,1.6896,0,79.651,0,0,1,1,1,0,132190,132360,04/09/2025 11:31:42 AM
168,75,100,80,0.0,70.176,16.814,129.93,400,0.9,0,0.00092297,12.024,24.322,78830,88326,6.5057,298.17,128.64,1.8242,10.0,1719.1,23,1978.5,1.1075,0.19325,24.291,26.058,1.743,0,78.641,0,0,1,1,1,0,136660,137170,04/09/2025 11:31:43 AM
180,75,100,80,0.0,68.7,5.0667,38.692,150,0.9,0,0.0013627,10.839,25.937,75549,84662,6.4916,297.94,43.068,1.7084,10.0,1819.5,23,2027.3,1.422,0.19111,25.815,25.693,1.6317,0,78.043,0,0,1,1,1,0,144360,144890,04/09/2025 11:31:44 AM
192,75,100,80,0.0,61.476,32.053,4.6952,150,0.9,-4000,0.0016286,10.812,27.582,72020,80706,6.4484,297.97,53.089,1.5953,10.0,1882.7,23,2074.1,1.3134,0.19215,27.457,25.44,1.5232,0,80.435,0,0,1,1,1,0,152190,152730,04/09/2025 11:31:45 AM
204,65,100,80,0.0,194.86,58.527,1.1614,250,0.9,0,0.0015736,11.489,28.707,76551,85877,6.5048,297.96,50.851,1.874,4.0,1889.0,23,2094.0,1.3181,0.19005,28.672,25.002,1.552,0,81.209,0,0,1,1,1,0,157490,157380,04/09/2025 11:31:46 AM
216,65,100,80,0.0,116.37,69.493,10.395,250,0.9,0,0.0016149,11.566,29.289,74549,83437,6.5089,297.97,56.05,1.749,4.0,1633.6,23,2037.8,1.2635,0.19077,29.266,24.397,1.4479,0,77.599,0,0,1,1,1,0,161190,161250,04/09/2025 11:31:47 AM
226,65,100,80,0.0,200.3,42.875,1.2727,250,0.9,0,0.0014739,12.179,29.373,78799,88181,6.47,297.87,16.912,1.7718,4.0,1492.6,23,2023.4,1.2763,0.19061,29.386,23.86,1.4669,0,74.573,0,0,1,1,1,0,161470,161700,04/09/2025 11:31:48 AM
1,30,100,8,0.0,22.062,38.277,3.8931,0,0.6,0,1.3849,14.605,0.00099771,58214,62293,6.5376,297.99,92.674,0.11075,5.0,1449.9,22,1675.5,-0.041518,0.20574,0.001,0.53311,0.042122,0,4.0833,0,0,1,2,2,0,0,0,04/09/2025 11:31:49 AM
12,42,100,15,0.0,105.86,267.59,0.0001,0,0.6,0,0.31244,11.485,0.0009649,58498,62903,6.49,298.27,167.94,0.35139,0.0,1540.1,30,1797.7,1.0599,0.19014,0.00096809,2.9646,0.18723,0,10.822,0,0,1,2,2,0,22026,21663,04/09/2025 11:31:50 AM
24,55,100,150,0.0,225.0,817.92,52.012,0,0.7,0,0.018414,9.1854,0.00089678,60977,66071,6.3685,299.53,526.1,0.7622,0.0,1215.3,35,1775.6,1.875,0.18423,0.00090287,9.0334,0.5324,0,22.215,0,0,1,2,2,0,21680,21484,04/09/2025 11:31:51 AM
36,55,100,43,0.0,84.061,139.81,0.0001,0,0.9,0,0.0024366,12.263,1.7558,62566,68176,6.4844,298.0,91.507,1.0223,0.0,720.94,35,1679.6,1.2041,0.19078,1.6167,12.443,0.71459,0,35.733,0,0,1,2,2,0,28903,28555,04/09/2025 11:31:52 AM
48,60,100,57,0.0,93.724,158.23,0.015229,0,1.1,0,0.002267,12.603,4.1167,63956,70143,6.5063,298.13,129.91,1.1924,10.0,643.78,35,1713.4,1.3538,0.19007,3.9313,15.613,0.90974,0,49.772,0,0,1,2,2,0,40086,39925,04/09/2025 11:31:53 AM
60,60,100,72,0.0,136.2,19.036,0.0001,500,1.1,0,0.0021338,14.149,6.6044,70749,77558,6.4998,297.98,83.09,1.4432,10.0,826.1,34,1699.6,1.3129,0.18997,6.4457,17.321,1.1018,0,41.257,0,0,1,2,2,0,52201,51729,04/09/2025 11:31:54 AM
72,60,100,84,0.0,79.712,8.3193,0.0001,500,1.1,0,0.0017416,14.971,9.0472,78539,85996,6.5071,298.0,91.25,1.6844,10.0,922.85,31,1632.3,1.6112,0.18667,8.8856,18.315,1.2869,0,25.813,0,0,1,2,2,0,64660,65209,04/09/2025 11:31:55 AM
84,60,100,90,0.0,61.322,163.3,0.0001,100,1.1,0,0.0013604,14.095,11.889,82702,90851,6.4829,298.01,93.17,1.9357,10.0,888.29,23,1579.5,1.9977,0.18251,11.688,20.036,1.4801,0,26.87,0,0,1,2,2,0,78841,78415,04/09/2025 11:31:56 AM
96,75,100,90,0.0,78.457,184.52,0.0001,100,1.1,0,0.00099738,14.171,14.718,85475,94267,6.5037,297.94,63.095,1.7123,10.0,785.9,23,1541.9,1.8693,0.18772,14.553,21.496,1.6355,0,35.702,0,0,1,2,2,0,91381,91647,04/09/2025 11:31:57 AM
108,75,100,90,0.0,68.876,63.398,0.0001,100,1.0,0,0.00095524,12.822,17.198,81113,89531,6.5051,298.01,92.844,1.6883,10.0,753.48,23,1545.0,1.6985,0.18906,17.033,22.436,1.6124,0,44.45,0,0,1,2,2,0,103720,103670,04/09/2025 11:31:58 AM
120,75,100,90,0.0,66.778,0.0001,0.0001,100,1.0,0,0.00086184,12.311,19.629,83934,92954,6.5006,297.97,75.923,1.7897,10.0,697.13,23,1550.2,1.9163,0.18722,19.473,23.151,1.7097,0,52.975,0,0,1,2,2,0,115320,115790,04/09/2025 11:31:59 AM
132,75,100,90,0.0,49.049,4.4428,1.3745,100,1.0,-4000,0.00082613,12.08,21.828,79618,88228,6.4883,297.94,67.923,1.7256,10.0,639.51,23,1570.7,1.7498,0.1886,21.685,23.614,1.6482,0,61.13,0,0,1,2,2,0,126280,125940,04/09/2025 11:32:00 AM
144,75,100,90,0.0,80.597,38.488,0.98018,100,1.0,0,0.00058767,12.345,23.5,82316,91492,6.5087,297.93,63.684,1.766,10.0,735.42,23,1643.9,1.6769,0.18908,23.408,23.699,1.687,0,68.617,0,0,1,2,2,0,134180,134690,04/09/2025 11:32:01 AM
156,75,100,90,0.0,58.23,42.011,6.4953,0,0.9,0,0.00067694,11.019,24.794,77358,86045,6.5482,297.98,81.415,1.6323,10.0,912.55,23,1766.1,1.5525,0.19028,24.684,23.529,1.5586,0,77.381,0,0,1,2,2,0,139710,140060,04/09/2025 11:32:02 AM
168,75,100,80,0.0,52.828,13.377,108.35,400,0.9,0,0.0007361,12.836,25.676,81942,91144,6.5069,298.09,126.87,1.6424,10.0,1164.5,23,1864.0,1.2553,0.1925,25.659,22.742,1.5683,0,73.63,0,0,1,2,2,0,143400,143260,04/09/2025 11:32:03 AM
180,75,100,80,0.0,43.111,0.76624,65.819,150,0.9,0,0.0011302,12.111,27.033,78512,87173,6.4976,297.96,77.832,1.5148,10.0,1356.9,23,1947.6,1.2245,0.19298,26.939,22.155,1.4459,0,71.046,0,0,1,2,2,0,149870,150070,04/09/2025 11:32:04 AM
192,75,100,80,0.0,21.172,35.278,5.9875,150,0.9,-4000,0.0012175,12.183,28.285,74480,82580,6.5214,297.92,63.798,1.3949,10.0,1516.2,23,2046.4,1.0562,0.19448,28.195,21.812,1.3311,0,71.872,0,0,1,2,2,0,156290,156840,04/09/2025 11:32:05 AM
204,65,100,80,0.0,42.625,31.529,0.96684,250,0.9,0,0.0014734,12.286,29.39,77756,86352,6.5049,297.87,44.329,1.6088,4.0,1572.1,23,2114.1,1.1515,0.19201,29.335,21.487,1.3313,0,71.189,0,0,1,2,2,0,162030,162420,04/09/2025 11:32:06 AM
216,65,100,80,0.0,49.653,12.223,102.16,250,0.9,0,0.0016309,12.613,29.992,74858,82935,6.5007,298.1,127.34,1.4888,4.0,1344.8,23,2087.6,0.95093,0.19399,29.961,21.113,1.2316,0,66.5,0,0,1,2,2,0,164340,164900,04/09/2025 11:32:07 AM
228,65,100,80,0.0,44.675,32.314,6.1435,250,0.9,0,0.0018599,12.719,30.357,79049,87688,6.5,297.89,51.065,1.5164,4.0,1154.2,23,2075.1,1.0058,0.19346,30.333,20.882,1.2545,0,62.216,0,0,1,2,2,0,166480,166550,04/09/2025 11:32:08 AM
230,65,100,80,0.0,44.136,1.8578,0.0001,250,0.9,0,0.001862,12.713,30.416,79730,88468,6.504,297.85,34.311,1.5222,4.0,1120.9,23,2073.2,1.0334,0.19321,30.392,20.873,1.2593,0,61.53,0,0,1,2,2,0,166250,165980,04/09/2025 11:32:09 AM
1,30,100,8,0.51678,27.513,149.49,12.914,0,0.6,0,0.98368,14.376,0.00099739,57633,62242,6.5935,298.13,560.66,0.12285,5.0,1339.6,22,1798.6,-0.017124,0.20526,0.001,0.61937,0.046729,0,4.0876,0,0,1,3,3,0,0,0,04/09/2025 11:32:10 AM
12,42,100,15,0.0,14.018,90.859,0.0001,0,0.6,0,0.010103,12.157,0.0009658,57845,62778,6.5109,297.98,520.17,0.37014,0.0,1434.4,30,1918.4,0.52353,0.19742,0.00096804,3.3558,0.19723,0,11.241,0,0,1,3,3,0,21554,21525,04/09/2025 11:32:11 AM
24,55,100,150,0.0,225.0,311.52,0.0001,0,0.7,0,0.01679,6.3812,0.00090668,59722,65363,6.4029,298.07,543.04,0.77652,0.0,1129.0,35,1914.4,1.9798,0.18309,0.00091284,9.3787,0.54242,0,22.436,0,0,1,3,3,0,21244,21381,04/09/2025 11:32:12 AM
36,55,100,43,0.0,58.87,77.13,0.0001,0,0.9,0,0.0023999,10.215,1.7585,60772,66943,6.4739,298.0,522.8,1.0465,0.0,629.09,35,1828.7,1.1402,0.19139,1.6179,13.109,0.73158,0,36.078,0,0,1,3,3,0,29512,29997,04/09/2025 11:32:13 AM
48,60,100,57,0.0,82.746,74.566,0.0001,0,1.1,0,0.0021169,9.8489,4.1949,62109,68897,6.4814,297.98,519.55,1.2402,10.0,595.21,35,1856.1,1.3837,0.18969,4.0049,16.731,0.94628,0,50.358,0,0,1,3,3,0,41594,41767,04/09/2025 11:32:14 AM
60,60,100,72,0.0,69.372,19.143,0.0001,500,1.1,0,0.0017399,12.0,6.8205,68588,76045,6.4952,297.98,517.94,1.5179,10.0,875.02,34,1825.3,1.2431,0.19049,6.6502,18.808,1.1592,0,42.178,0,0,1,3,3,0,53413,53609,04/09/2025 11:32:15 AM
72,60,100,84,0.0,81.912,9.3971,0.0001,500,1.1,0,0.0015522,13.225,9.2525,76319,84470,6.5051,297.98,515.63,1.7891,10.0,1063.2,31,1744.8,1.4708,0.18781,9.0988,20.045,1.3674,0,27.131,0,0,1,3,3,0,65846,65731,04/09/2025 11:32:16 AM
84,60,100,90,0.0,74.981,54.454,0.0001,100,1.1,0,0.0010359,11.941,11.888,80629,89497,6.5015,297.99,520.16,2.061,10.0,1111.0,23,1696.5,2.0287,0.18198,11.725,21.928,1.5765,0,28.636,0,0,1,3,3,0,78547,78288,04/09/2025 11:32:17 AM
96,75,100,90,0.0,131.95,11.437,0.0001,100,1.1,0,0.00087778,11.849,14.261,83713,93201,6.4964,297.98,515.23,1.8044,10.0,1171.9,23,1690.8,2.1178,0.18566,14.114,23.171,1.7239,0,37.848,0,0,1,3,3,0,89384,89146,04/09/2025 11:32:18 AM
108,75,100,90,0.0,125.72,2.0108,0.0001,100,1.0,0,0.00096469,10.231,16.478,79970,89080,6.4929,298.0,522.49,1.7717,10.0,1270.3,23,1699.2,1.983,0.18675,16.324,23.919,1.6925,0,46.884,0,0,1,3,3,0,100460,100740,04/09/2025 11:32:19 AM
120,75,100,90,0.0,89.655,17.878,2.9903,100,1.0,0,0.00079474,9.9004,18.651,83402,93123,6.5218,297.97,510.96,1.8745,10.0,1368.0,23,1705.5,1.9979,0.18644,18.513,24.444,1.7912,0,55.642,0,0,1,3,3,0,110330,110460,04/09/2025 11:32:20 AM
132,75,100,90,0.0,60.197,2.5039,20.419,100,1.0,-4000,0.00084354,9.5333,20.514,79035,88327,6.4964,297.95,506.03,1.7923,10.0,1495.8,23,1750.3,1.7473,0.1885,20.375,24.747,1.7123,0,63.907,0,0,1,3,3,0,119680,119330,04/09/2025 11:32:21 AM
144,75,100,90,0.0,46.455,11.563,100.92,100,1.0,0,0.00060935,9.6553,22.249,81677,91553,6.4998,298.08,555.11,1.8332,10.0,1677.5,23,1813.6,1.7086,0.18871,22.138,24.833,1.7516,0,71.424,0,0,1,3,3,0,127920,127920,04/09/2025 11:32:22 AM
156,75,100,90,0.0,83.025,20.735,3.4997,0,0.9,0,0.00089422,8.0208,24.095,76751,86219,6.5099,297.92,494.97,1.7103,10.0,1833.9,23,1882.9,1.7496,0.18864,23.953,24.884,1.6335,0,80.266,0,0,1,3,3,0,137180,137530,04/09/2025 11:32:23 AM
168,75,100,80,0.0,76.121,9.1351,106.15,400,0.9,0,0.0010573,10.617,25.202,81556,91605,6.4876,298.04,541.02,1.7329,10.0,2060.1,23,1947.2,1.1582,0.19305,25.152,24.146,1.6552,0,76.954,0,0,1,3,3,0,141500,142190,04/09/2025 11:32:24 AM
180,75,100,80,0.0,68.858,41.059,7.1778,150,0.9,0,0.0011595,9.6061,26.626,78424,87992,6.5084,297.86,470.05,1.6097,10.0,2221.4,23,2005.8,1.326,0.19203,26.531,23.614,1.537,0,75.014,0,0,1,3,3,0,149330,149530,04/09/2025 11:32:25 AM
192,75,100,80,0.0,42.986,36.717,1.2404,150,0.9,-4000,0.0012987,9.6116,27.977,74601,83663,6.491,297.84,465.7,1.4918,10.0,2368.5,23,2082.7,1.2091,0.19314,27.885,23.326,1.4239,0,76.503,0,0,1,3,3,0,155760,155980,04/09/2025 11:32:26 AM
204,65,100,80,0.0,15.113,39.11,135.3,250,0.9,0,7.1545,11.475,26.378,77620,87222,6.5048,298.1,560.33,1.6753,4.0,2943.4,23,2367.5,0.92815,0.19382,26.518,22.547,1.3866,0,76.243,0,0,1,3,3,0,146780,147320,04/09/2025 11:32:27 AM
216,65,100,80,0.0,3.3105,44.351,8.4758,250,0.9,0,14.808,11.929,24.373,74331,83439,6.509,297.84,464.0,1.4877,4.0,3233.1,23,2568.2,0.78122,0.19546,24.506,21.49,1.2306,0,71.443,0,0,1,3,3,0,137870,137890,04/09/2025 11:32:28 AM
228,65,100,80,0.0,7.8706,37.123,7.827,250,0.9,0,21.624,12.219,22.504,78048,87656,6.4974,297.86,469.37,1.4378,4.0,3502.4,23,2749.0,0.91104,0.19443,22.621,20.462,1.1892,0,66.521,0,0,1,3,3,0,128620,128290,04/09/2025 11:32:29 AM
240,65,100,80,0.0,5.4333,66.252,9.8877,250,0.9,0,28.467,12.6,20.763,74746,83856,6.4913,297.8,449.72,1.2632,4.0,3761.5,23,2911.7,0.85478,0.19526,20.874,19.474,1.0442,0,61.486,0,0,1,3,3,0,119510,119660,04/09/2025 11:32:30 AM
252,60,100,80,4.1478,0.0,75.585,1.6593,0,0.9,-4000,35.989,11.758,19.304,70911,79577,6.6987,297.91,491.94,1.1958,4.0,3985.1,23,3060.8,0.9732,0.19366,19.354,18.624,0.91233,0,57.838,0,0,1,3,3,0,111740,111710,04/09/2025 11:32:31 AM
264,60,100,80,0.0,4.3615,31.492,105.92,0,0.9,0,45.736,11.613,18.526,71632,80840,6.4971,298.03,532.26,1.1336,4.0,4198.5,23,3262.8,0.80563,0.19536,18.577,18.438,0.86471,0,67.659,0,0,1,3,3,0,108650,108780,04/09/2025 11:32:32 AM
276,60,100,80,0.0,11.138,123.0,3.1149,100,0.9,0,55.056,12.018,17.61,65934,74711,6.5161,297.82,466.02,0.97166,4.0,4437.3,23,3448.8,0.58039,0.1978,17.684,18.104,0.74083,0,74.894,0,0,1,3,3,0,103420,103870,04/09/2025 11:32:33 AM
278,60,100,80,0.0,24.466,63.639,444.28,100,0.9,0,56.757,12.106,17.428,66272,75143,6.5137,298.99,833.8,0.9623,4.0,4481.6,23,3476.8,0.55138,0.19809,17.503,18.012,0.73368,0,75.53,0,0,1,3,3,0,102490,102280,04/09/2025 11:32:34 AM
1,30,100,8,0.51779,19.61,77.047,7.2748,0,0.6,0,1.16,14.525,0.00099758,58001,62036,6.5771,298.02,234.03,0.1042,5.0,1444.7,22,1665.6,-0.050059,0.20591,0.001,0.48841,0.03963,0,4.0809,0,0,1,4,4,0,0,0,04/09/2025 11:32:35 AM
12,42,100,15,0.0,82.574,60.834,252.02,0,0.6,0,0.0088033,12.407,0.00096553,58264,62623,6.5665,298.81,446.22,0.35486,0.0,1545.1,30,1786.1,0.52906,0.19737,0.00096817,3.0832,0.18908,0,10.763,0,0,1,4,4,0,22026,22497,04/09/2025 11:32:36 AM
24,55,100,150,0.0,225.0,256.76,0.0001,0,0.7,0,0.016154,7.601,0.00090497,60273,65314,6.4325,298.04,238.26,0.75465,0.0,1235.7,35,1782.0,1.8591,0.18441,0.00091108,9.0396,0.52711,0,21.989,0,0,1,4,4,0,20683,20654,04/09/2025 11:32:37 AM
36,55,100,43,0.0,90.644,72.261,0.0001,0,0.9,0,0.0024103,11.096,1.6973,61177,66728,6.4979,297.99,224.25,1.0166,0.0,752.86,35,1710.0,1.0505,0.19238,1.5615,12.649,0.71057,0,35.463,0,0,1,4,4,0,29620,29438,04/09/2025 11:32:38 AM
48,60,100,57,0.0,65.386,88.509,0.0001,0,1.1,0,0.002196,11.074,3.9771,62513,68636,6.5068,297.97,216.56,1.1865,10.0,786.73,35,1754.4,1.2587,0.19098,3.8017,15.89,0.90522,0,49.531,0,0,1,4,4,0,39906,40410,04/09/2025 11:32:39 AM
60,60,100,72,0.0,83.617,0.57142,0.10449,500,1.1,0,0.0017223,13.427,6.3132,69058,75772,6.4995,297.95,212.22,1.4156,10.0,1136.8,34,1760.5,1.0322,0.19268,6.1624,17.424,1.0807,0,41.044,0,0,1,4,4,0,50778,50637,04/09/2025 11:32:40 AM
72,60,100,84,0.0,93.463,0.0001,0.012832,500,1.1,0,0.0017018,14.41,8.5325,76689,84009,6.498,297.95,208.48,1.63,10.0,1389.7,31,1714.8,1.2845,0.18988,8.39,18.153,1.2451,0,25.528,0,0,1,4,4,0,62644,63189,04/09/2025 11:32:41 AM
84,60,100,90,0.0,60.249,28.121,0.003256,100,1.1,0,0.0010249,13.653,10.927,81468,89435,6.507,298.01,230.38,1.8614,10.0,1497.7,23,1682.5,1.6319,0.18614,10.78,19.586,1.4229,0,26.46,0,0,1,4,4,0,73140,73206,04/09/2025 11:32:42 AM
96,75,100,90,0.0,63.68,9.8901,0.0001,100,1.1,0,0.00095827,13.444,13.098,84248,92762,6.5117,298.0,229.76,1.6115,10.0,1619.7,23,1705.3,1.5738,0.19016,12.954,20.52,1.5387,0,35.004,0,0,1,4,4,0,83462,84047,04/09/2025 11:32:43 AM
108,75,100,90,0.0,82.507,18.012,0.0001,100,1.0,0,0.0011247,11.849,15.307,80017,88148,6.4909,298.01,230.28,1.5897,10.0,1729.1,23,1726.3,1.4355,0.19124,15.149,21.397,1.5178,0,43.381,0,0,1,4,4,0,93978,94415,04/09/2025 11:32:44 AM
120,75,100,90,0.0,41.809,1.0937,0.029861,100,1.0,0,0.0007507,11.643,17.456,82664,91358,6.5025,297.94,204.18,1.6812,10.0,1852.2,23,1753.7,1.4371,0.19105,17.325,22.086,1.6056,0,51.582,0,0,1,4,4,0,104200,104320,04/09/2025 11:32:45 AM
132,75,100,90,0.0,37.542,4.1201,1.3415,100,1.0,-4000,0.00086996,11.075,19.434,78104,86369,6.5083,297.94,206.34,1.6138,10.0,1999.2,23,1796.6,1.4446,0.19113,19.299,22.512,1.5409,0,59.349,0,0,1,4,4,0,114590,115060,04/09/2025 11:32:46 AM
144,75,100,90,0.0,29.412,4.631,54.868,100,1.0,0,0.00064254,11.111,21.29,80495,89331,6.4889,298.0,226.9,1.6622,10.0,2160.6,23,1858.3,1.4307,0.19114,21.182,22.808,1.5874,0,66.505,0,0,1,4,4,0,123390,123380,04/09/2025 11:32:47 AM
156,75,100,90,0.0,21.74,34.045,4.7603,0,0.9,0,0.00073217,9.6254,22.992,75236,83620,6.4833,298.01,230.55,1.543,10.0,2353.4,23,1952.4,1.3571,0.19193,22.868,22.864,1.4729,0,75.104,0,0,1,4,4,0,131420,131920,04/09/2025 11:32:48 AM
168,75,100,80,0.0,13.386,57.289,8.5989,400,0.9,0,4.3473,13.14,22.201,79356,88260,6.5127,297.93,202.3,1.5328,10.0,2913.7,23,2185.0,0.56311,0.19789,22.353,21.957,1.4632,0,71.429,0,0,1,4,4,0,127420,127420,04/09/2025 11:32:49 AM
180,75,100,80,0.0,11.111,75.879,10.133,150,0.9,0,11.458,12.272,20.686,75401,83814,6.5107,297.92,195.71,1.3774,10.0,3693.8,23,2518.4,0.78499,0.19654,20.777,21.048,1.3142,0,69.331,0,0,1,4,4,0,118830,118810,04/09/2025 11:32:50 AM
192,75,100,80,4.1494,0.0,40.135,1.1085,150,0.9,-4000,19.087,12.506,19.397,70929,78895,6.6755,297.88,182.4,1.2333,10.0,4431.0,23,2836.9,0.53492,0.1987,19.482,20.356,1.1763,0,70.653,0,0,1,4,4,0,112810,112780,04/09/2025 11:32:51 AM
